Timestamp,Config,Notes,Eval Loss,SacreBLEU,ROUGE-L
2026-09-13 20:48:44,configs/colab_test1.yaml,max_length: 32 max_input_length: 128 max_target_length: 32,1.4563,12.6485,0.3347
2026-09-13 22:06:30,configs/colab_text2.yaml,max_length: 64 max_input_length: 256 max_target_length: 64,0.8219,10.0235,0.3305
2026-09-13 23:05:17,configs/colab_text3.yaml,learning_rate: 5.0e-5 max_length: 64 max_input_length: 256 max_target_length: 64,0.8383,9.0532,0.3248
